 Seri Numarası ,Kategori,Raf,Açıklama,Not,Stok Giriş Tarihi,Yenileme Tarihi
 W163589004300 /04 ,Presleyerek sökme ve takma aleti,BİNEK 1/3,Elastomer yatağını ön ve arka aksın üst ve alt enine bağlantı kolundan çekerek çıkartmak ve takmak için çıkartma ve içeri bastırma aleti TİP 420: Elastomer yatağını arka akstan çekerek çıkartmak ve takmak için çıkartma ve içeri bastırma aleti Temin etme bilgisi: Bu atölye donanımının satışı durduruldu. Atölye donanımı artık temin edilebilir değil. Mümkünse lütfen kendiniz hazırlayın veya temin edin veya mevcut atölye donanımını onarın.,,,
 W607589034300 ,Takma el aleti,BİNEK 1/3,Radyal mil keçesinin montajı için kumanda gövdesinde. Hatırlatma: Adaptör 607 589 00 43 00 ile bağlantılı olarak.,,,
 W270589029100 ,Bağlantı Adaptörü,BİNEK 1/3,Hava yolunun arıza teşhisi için bağlantı adaptörü.,,,
 W129589010900 ,Geçmeli kovan,BİNEK 1/3,Gösterge grubundaki soket lambalarını gösterge grubunu tamamen sökmek zorunda kalmadan sökmek ve takmak için dişi faston,,,
 W607058929100 ,Vidalanabilir parça,BİNEK 1/3,: Kompresyon basıncı veya basınç kaybı ölçümü için kızdırma bujisindeki (M10x1) vidalanabilir parça.,,,
 W607589019100 ,ADAPTÖR,BİNEK 1/3,Yağ basıncı ölçümünde kontrol cihazının 103 589 00 21 00 bağlantısı için adaptör.,,,
 W654589003202 ,PLAKA,BİNEK 1/3,Kumanda zincirinin perçinlerinde silindir başı ayırma yüzeyinin koruma plakası. Hatırlatma: Sadece W   654   589   00   33   00 perçin presleme aleti ile bağlantılı olarak. Tahrik düşlüsü üzerinde kumanda zincirinin atmasının engellenmesi için plaka. 01 NUMARALI PARÇA BİNEK 1/3 RAFINDA,,,
 Bilgi Yok ,STETESKOP,BİNEK 1/3,SES DİNLEME. STETESKOP,,,
 W646589022100 ,1240 bar test adaptörü,BİNEK 1/4,Yakıt yüksek basınç devresinin akış kontrolü için test adaptörü. Miktar kısma kumandası 1240 bar'da gerçekleşir. Kontrol cihazı kategorisi CAT_B.,,,
 W642589026309 ,ADAPTÖR,BİNEK 1/4,"Kompresyon ölçümü veya basınç kaybı ölçümü için NW 7,2'den NW 5,0 nominal çapa redüksiyonlu basınçlı hava adaptörü. Hatırlatma : Vidalı adaptör W 270 589 01 91 00 ile bağlantılı olarak hortum A'daki W 450 589 17 21 00 basınç kaybı test cihazına veya W 642 589 02 63 00 vidalı parçadaki W 001 589 76 21 00 kompresyon basıncı kayıt cihazına.",,,
 W642589020302 ,Bilgi Yok,BİNEK 1/4,Bilgi yok,,,
 W215589010311 ,Bilgi Yok,BİNEK 1/4 ,Somunlu metal çubuk,,,
 W674589019000 ,Bilgi Yok,BİNEK 1/4,Bilgi yok,,,
 W166589005300 ,Bilgi Yok,BİNEK 1/4 ,Ahşap el aleti,,,
 W129589106300 ,Baskı parçası,BİNEK 1/4," Baskı parçası M12x1,5, tutucunun altı köşesi için korunma TİP 211.08/28/09/29, 220 W 124 589 02 33 00 çektirme TİP 140, 211, 215, 219, 220, 230, 240 W 140 589 00 33 00 çektirme TİP 203, 209, 216, 221 W 201 589 01 33 00 çektirme TİP 124, 129, 169, 170, 171, 201, 202, 203, 208, 210, 209, 211, 230, 245 W 203 589 00 33 00 çektirme TİP 164, 169, 190, 197, 204, 216, 221, 245, 251, 906 W 221 589 00 33 00 çektirme",,,
 W209589072300 ,Aralık mastarı,BİNEK 1/4, Kapı yan camı monte edilirken belli X konumda sabitlemek için sentil.,,,
 W221589014300 ,Çektirme ve takma el aleti,BİNEK 1/5,"Arka aks dişli kutusu yataklarının ön enine köprüden ve arka aks taşıyıcısından çektirilmesi ve takılması için dışarı ve içeri çektirme aleti. Hatırlatma: Sadece el pompası 652 589 00 33 21, hidrolik hortumu 652 589 00 33 23 ve delikli piston silindiri 001 589 51 33 00 ile birlikte kullanın.",,,
 W725589005900 ,Sökme ve takma el aleti,BİNEK 1/5, Yağ pompasının konvertör gövdesinden sökülmesi ve takılması için.,,,
 W470589091500 ,Malafa,BİNEK 1/5,Radyal mil keçesinin otomatik şanzımanın güç çıkış miline takılması için malafa. Teknik bilgilendirme: Sadece 001   589   00   40   00 tutamak parçası ile birlikte.,,,
 W470589061500 ,Malafa,BİNEK 1/5,Malafa,,,
 W654589032100 ,Ayar aleti,BİNEK 1/5,Üst ölü noktası pozisyonun (OT) tespit edilmesi için ayar aleti. ,Teknik hatırlatma: W   654   589   00   21   00 ayar aleti için yedek.,,
 W001589004000 ,Tutma parçası,BİNEK 1/5,Çeşitli malafaların yuvası için kavrama parçası.,,,
 W470589101500 ,Malafa,BİNEK 1/5,Otomatik şanzımanın tahrik flanşında radyal mil contasının yenilenmesi için malafa,Teknik bilgilendirme: Sadece W   001   589   00   40   00 Kavrama parçası ile bağlantılı olarak.,,
 W470589101500 ,Malafa,BİNEK 1/5,Otomatik şanzımanın tahrik flanşında radyal mil contasının yenilenmesi için malafa.,Sadece W001589004000 Kavrama parçası ile bağlantılı olarak.,,
 W470589041400 ,Kaide,BİNEK 1/5,Turboşarjın kontrolünde komparatörü sabitleme altlığı. ,Teknik hatırlatma: Komparatör W   450   589   06   21   00 ile bağlantılı olarak kullanılmalıdır. Hatırlatma: Kontrol için özel altlık Smart turboşarj sipariş edilecek smart no. 0005568.,,
 W654589001400/01/02/03 ,Kovan,BİNEK 1/6, Yakıt yüksek basınç pompasının sökülmesi ve takılmasında zincir dişlisinin yuvasının kovanı.,,,
 W699589000501 ,El aleti,BİNEK 1/6,El Aleti,,,
 W000589569800 ,Koruyucu soket,BİNEK 1/6,HV kontak noktalarını kapatmak ve HV kontaklarındaki ilgili ölçüm noktalarına yönlendirmek için koruyucu soket.,,,
 W119589004300 ,Malafa,BİNEK 1/6,Valf sapı contalarının silindir kapağına çakılması,,,
 W626589044000 ,Ayar aleti,BİNEK 1/6,Eksantrik milinin bloke edilmesi için.,,,
 W699589024000 ,Ayar aleti,BİNEK 1/6,Bilgi yok,,,
 W654589014300 ,Takma el aleti,BİNEK 1/6,Arka radyal mili keçesinin montajı için çekme tertibatı krank miline,Hatırlatma: W651589016100   çekme aleti ile bağlantılı olarak kullanın.,,
 W470589111500 ,Malafa,BİNEK 1/6,Otomatik şanzımanın tahrik flanşında radyal mil contasının yenilenmesi için malafa.,Teknik bilgilendirme: Sadece W001589004000 tutamak parçası ile bağlantılı olarak.,,
 W220589049938 ,NanoMQS kilit açma aleti,BİNEK 1/6,NanoMQS2‑temaslarının kilidinin çözülmesi için kilit açma el aleti.,,,
 W654589004000 02 ,Karşı tutucu,BİNEK 1/6,Kayış tahrikinde ayırıcının demonte edilmesi ve monte edilmesi ayrıca krank milin döndürülmesi için karşı tutucu.,,,
 W725589029000 01/02 ,Montaj aleti,BİNEK 1/3,Şanzıman yağ durumunun kontrol edilmesi ve düzeltilmesi için. ,Teknik hatırlatma: Parça W   725   589   02   90   02 toplama kabı ve parça W   725   589   02   90   01 lokma anahtar yerine W   724   589   01   09   00 lokma anahtar ve W   725   589 00   09   00 lokma anahtar kullanılacaktır.,,
 W256589023100 ,Montaj aleti,BİNEK 1/7, Eksantrik mili ayarlayıcısını döndürmek ve belirlemek için montaj aleti ,,,
 W246589004000 ,Karşı tutucu,BİNEK 1/7 ,Akü klemensinde (Plus) artı hattın montajı veya demontajı için kontra tutucu.,,,
 W541589000100 ,Anahtar,BİNEK 1/7,El Aleti,,,
 W000589016800 ,Temizlik seti,BİNEK 1/7,SRS kumadna cihazındaki PIN'lerin temizlenmesi için temizleme seti,,,
 W626589024003 ,Karşı tutucu,BİNEK 1/7,Titreşim gidericisini karşı tutmak için. Krank milinin kayış kasnağından döndürülmesi için,,,
 W699589034000 ,Tutma kilidi,BİNEK 1/7,Yüksek basınç pompası çarkının blokajı için tutma kilidi.,,,
 W470589081500 01/02/03 ,Malafa seti,BİNEK 1/7, Radyal mil keçesinin tahrik flanşına ve ön aks dişli kutusunun (VA şanzımanı) sağ ve sol güç çıkış tarafına monte edilmesi için malafa seti. Arka aks tekerlek rulmanının sökülmesi ve takılması için malafa seti.,Teknik hatırlatma: 001   589   00   40   00 kavrama parçası ile bağlantılı olarak.,,
 W470589121500 01 /02/03 ,Malafa seti,BİNEK 1/7, Tahrik ve durdurma taraflı dağıtıcı dişli kutusunda radyal mil keçesinin montajı için malafa seti. Arka aks tekerlek rulmanının sökülmesi ve takılması için malafa seti. ,Teknik hatırlatma: 001   589   00   40   00 kavrama parçası ile bağlantılı olarak.,,
 W904589036300 ,Bloke tertibatı,BİNEK 1/7,"Kompresör çarkı için blokaj tertibatı, kompresör çarkı somununun çözülmesi ve sıkılması için.",,,
 W607589056300 ,Ana plaka,BİNEK 1/7,Volan tarafındaki radyal mil keçesinin krank miline takılması için ana plaka.,Hatırlatma: İçeri çektirme el aleti W607 589 04 43 00 ile bağlantılı olara,,
 W470589041400 ,Burç takımı,BİNEK 1/7,Bilgi yok,,,
 W699589004000 ,Volan kilidi ,BİNEK 1/7,Volan kilidi,,,
 w699589001500 ,krank mili sabitleme mandreni,BİNEK 1/7,krank mili sabitleme mandreni,,,
 W210589004300 ,Çekme ve takma el aleti,BİNEK 1/8,Alt enine bağlantı kolu elastomer yatağı için çektirme ve takma aleti,,,
 W102589011400 ,Kovan,BİNEK 1/8, Radyal mil keçesinin bastırılıp takılması için kovan (tek ve iki kat makaralı zincir),,,
 W129589009100 ,Tıpa seti,BİNEK 1/8,Hidrolik elemanlarının ve hatlarının kapatılması için tıpa seti.," Set, 15 alt grup ve 116 parçadan oluşur",,
 W450589001000 ,Lokma anahtarı,BİNEK 1/8,Silindir başı vidalarını sıkmak için lokma anahtarı,Hatırlatma: İç altıgen yuvarlak T 70 smart-No. 0005084.,,
 W256589002300 ,Sabitleme tertibatı,BİNEK 1/8, Eksantrik milinin temel konumunun ayarlanması için ve eksantrik mili ayarlayıcısının demontajında ve montajında kontralama yapmak için sabitleme tertibatı.,,,
 W254589002300 ,Sabitleme tertibatı,BİNEK 1/8, Eksantrik milinin temel konumunun ayarlanması için ve eksantrik mili ayarlayıcısının demontajında ve montajında kontralama yapmak için sabitleme tertibatı.,,,
 W211589061500 ,MALAFA,BİNEK 1/8,Koruyucu halkayı arka aks millerine çakmaya yarayan malafadır.,,,
 W102589003300 ,Çektirme,BİNEK 1/8,Krank mili üzerindeki mesafe pulu için çektirme,,,
 W111589084300 ,Montaj aleti,BİNEK 2/1,Arka radyal mil keçesinin normal konuma bastırılması için montaj aleti ve çalıştırılmış krank milinde 3 nolu parça ile 3 mm lik içeri alınmış konumla.,,,
 W220589023100 ,Germe balataları,BİNEK 2/1,"Arka aks mili tutucu yanakları ∅ 34 mm, halka mafsalın takılmasında",,,
 W724589013300 ,Çektirme,BİNEK 2/1,Verici çarkı bastırarak yağ pompasından çıkarmaya yarayan çektirme aletidir,,,
 W177589000900 ,Lokma anahtarı elemanı,BİNEK 2/1, Kam mili ayarlayıcısı kumanda valfini çözmek ve vidalamak için delikli altıgen T100 lokma anahtar takımı.,Teknik hatırlatma : W       271     589001000 lokma anahtarı için yedek.,,
 W639589009100 ,Kontrol kapağı,BİNEK 2/1,W   124   589   24   21   00 basınç pompası ile bağlantılı olarak motor soğutma sisteminin sızdırmazlık kontrolü için dengeleme kabı kontrol bağlantısı. W   285   589   00   21   00 radyatör vakumlu dolum cihazıyla motor soğutma sisteminin dolumu için.,,,
 W163589019100 ,Kontrol kapağı,BİNEK 2/1,Soğutma tertibatını sızdırmazlık açısından kontrol etmek için soğutma maddesi genleşme kabı ile W   124   589   24   21   00 kontrol cihazı arasına takılan kontrol kapağı.,,,
 W210589009100 ,Kontrol kapağı,BİNEK 2/1, W   124   589   24   21   00 basınç pompası ve W   285   589   00   21   00 soğutucu vakumlu dolum cihazına ilişkin soğutma maddesi dengeleme kabı için vidalı kontrol kapağı.,,,
 W640589009100 ,ADAPTÖR,BİNEK 2/1,Turboşarj hava sisteminin sızdırmazlık kontrolü için adaptör.,Teknik hatırlatma: W   611   589   02   21   00 sızdırmazlık kontrol cihazıyla birlikte kullanılmalıdır.,,
 W210589036300 ,ADAPTÖR,BİNEK 2/1,Dişlilere sahip kapağın kontrol adaptörü.,Hatırlatma: 124 589 24 21 00 basınç pompasıyla bağlantılı olarak.,,
 W607589039100 ,Bağlantı adaptörü,BİNEK 2/1,Hava emişinin sızdırmazlık kontrolü (hava yolunun arıza teşhisi) için bağlantı adaptörü,Hatırlatma: 611 589 02 21 00 sızdırmazlık kontrol cihazı ile bağlantılı olarak.,,
 W651589029100 ,Adaptör,BİNEK 2/1,Sızdırmazlık kontrol cihazı W 611 589 02 21 00 ile bağlantılı olarak turboşarj havası sisteminin sızdırmazlık kontrolü için adaptör.,KIRMIZI HORTUM,,
 W001589732100 ,El vakum pompası,BİNEK 2/1,"Yan kanal pompasının, stator ve rotor gövdesinin sızdırmazlık kontrolü için el vakum pompası (0 ... 1000 mbar, bölünme 20 mbar)",,,
 HSD0000000004 ,FR BAĞLANTI KABLOSU,BİNEK 2/1,FR KABLOSU YENİ ARAÇ,,,
 W102589014000 ,Tutma kilidi,BİNEK 2/2,Şanzıman sökülü iken volanı bloke etmek için,,,
 W202589023300 ,Çektirme,BİNEK 2/2,Aks başındaki taşıyıcı mafsal için çektirme aleti.,Teknik hatırlatma: Sadece basınç aktarım parçası W   140   589   00   63   00 und W   210   589   04   63   00 ile birlikte kullanılmalıdır,,
 W460589111500 ,Malafa,BİNEK 2/2,"Dengelemenin zor hareket etme kontrolü ve sürtünme torku kontrolü için 1/2"" dört köşeli malafa.",,,
 W355589016300 ,Darbeli çektirme,BİNEK 2/2,"Diferansiyel dişli grubu kilidi kavrama pistonunun, millerin, bağlantı parçalarının ve kapakların sökülmesi için darbeli çektirme.",,,
 W906589026300 ,Çektirme el aleti,BİNEK 2/2,Koruyucu kovanının silindir kapağından çektirilmesi için W   355   589   01   63   00   darbeli çektirme ile birlikte kullanılan çektirme el aleti., Diğer kullanımı: Sabit gaz kelebeğinin valfindeki supap sapı keçesinin sökülmesi.,,
 W254589001500 ,MİL,BİNEK 2/2,Bilgi yok,,,
 W169589009100 ,Kontrol kapağı,BİNEK 2/2,Soğutma sisteminin sızdırmazlık kontrolü için soğutma maddesi dengeleme kabı kontrol kapağı ,Hatırlatma: Kontrol cihazı 124 589 24 21 00 ile bağlantılı olarak. Radyatör-vakumlu dolum cihazı 285 589 00 21 00 ile soğutma sistemini doldurmak için.,,
 W001589800900 ,Lokma anahtar elemanı,BİNEK 2/2,"Lokma anahtar elemanı 8 mm, altı köşe, derin delinmiş, mafsalla ve uzatmayla sıkı sıkıya bağlıdır. Dört köşe tahrikli elemanı 3/8""̋ ile. Çubuk kızdırma bujilerini takmak ve sökmek için",Hatırlatma: 454 589 02 09 00 çoklu somun anahtarı smart-özel el aletine eş parça.,,
 W203589031000 ,Valf anahtarı,BİNEK 2/2, Yüksek basınç ve düşük basınç servis valflerindeki valf elemanının takılması ve sökülmesi için valf anahtarı.,,,
 W001589790900 ,Lokma,BİNEK 2/2,"Yakıt ve yağ sıcaklık sensörlerinin sökülmesi ve takılması için lokma anahtar takımı, ağız genişliği 22   mm çift altı köşeli, tahrik 1/2"" içten dört köşeli.",,,
 W211589010300 ,Yıldız anahtar lokması,BİNEK 2/2,Arka aks dişli kutusu yatağını arkaya vidalamak için 14x18mm dört köşeli tak çıkar anahtarı bulunan E   18 yıldız anahtar takımıdır.,,,
 W611589000300 ,Lokma anahtarı,BİNEK 2/2,Açık ağızlı lokma püskürtme boruları içindir.,,,
 W470589269100 ,Kontrol bağlantısı,BİNEK 2/2,Bilgi yok,,,
 W639589019100 ,Kontrol kapağı,BİNEK 2/2,Bilgi yok,,,
 W124589009100 ,Kontrol bağlantısı,BİNEK 2/2, Soğutma maddesi dengeleme kabın 57 mm'lik kontrol kapağı (bayonet sistemi) kontrol cihazı 124 589 24 21 00 ve doldurma cihazı ile bağlantılı.,,,
 W112589010300 ,Takma aleti,BİNEK 2/2,"Altı köşe yıldız anahtar E18 ve dörtgen lokma 14X18 mm takma aleti, sol sabitleme cıvatasını kam mili dişlisinden çektirmek için W   001   589   66   21   00 tork anahtarına.",,,
 W642589013300 ,Vidalı adaptör,BİNEK 2/2,Piezo enjektörlerin vurarak çıkarılması için dişli adaptörü. Hatırlatma : 602   589   00   33   00 darbeli çektirme ile bağlantılı olarak.,,,
 W210589011600 ,Dört kenar tahrikli,BİNEK 2/2," Dört köşeli tahrik zincir gerdiricisinin sökülmesi ve ayrıca genel kullanılabilir dört köşeli tahrik 1/2"" 14 x 18 mm geçme bağlantıları için",,,
 W272589009100 ,Dişli adaptörü,BİNEK 2/2," M10×1 dişli bağlantısına sahip dişli adaptörün iç kısmı M12×1,25 dış kısma, Bosch şirketinin basınç kaybı kontrol cihazı için.",,,
 W221589013300 ,Ayırma / Gevşetme el aleti,BİNEK 2/2, Şanzımandan ve şanzıman yağı radyatöründen yağ radyatörü hortumlarının çözülmesi için gevşetme aleti.,,,
 W904589006300 ,Vidalı ara parça,BİNEK 2/2,"Meme tutucusu kombinasyonunu çektirmek için vidalı ara parça (M14x1,5 ve M8) W   355   589   01   63   00   darbeli çektirme ile birlikte.",,,
 W102589053300 ,ÇEKTİRME,BİNEK 2/3,Bilgi yok,,,
 W124589033300 ,ÇEKTİRME,BİNEK 2/3,Rot kolu kürsel mafsalı için çektirme aletidir.,"Teknik hatırlatma: W   129   589   10   63   00 basınç aktarım parçası ve W   201   589   05   63   00 basınç aktarım parçası ile birlikte kullanılmalıdır (tip 460, 461, 463 dışında). Tıp 171: Sadece W   140   589   00   63   00 basınç aktarım parçası ile birlikte kullanılmalıdır. ",,
 W220589019920 ,"RK 1,5 çıkartma elemanı olan kilit açıcısı",BİNEK 2/3,"d = 1,5 mm yuvarlak kontakların kilidini açmak ve sökmek için ∅ 1,5 dışarı çıkartma elemanı olan kilit açma elemanı","Yedek parça: W 220 589 01 99 21 yedek kovan RK 1,5 Hatırlatma: W 620 589 08 63 00 montaj kulpunda, W 620 589 08 63 02 yedek kovanda kullanın.",,
 W111589015914 ,Bilgi Yok,BİNEK 2/3,Bilgi yok,,,
 W636589020300 ,Bilgi yok,BİNEK 2/3,Bilgi yok,,,
,19 REKOR,BİNEK 2/2,Bilgi yok,,,
 W211589000900 ,Lokma anahtarı elemanı,BİNEK 2/2,Havalı süspansiyonun hat bağlantısının sıkılması ve çözülmesi için lokma anahtar elemanı 10mm (yarıklı).,Hatırlatma: W   001   589   86   21   00 tork anahtarı ve W   001   589   00   03   00 yıldız anahtar lokması ile bağlantılı olarak kullanın. ,,
 W111589015910 ,MİL,BİNEK 2/3,Bilgi yok,,,
 W140589003300 ,ÇEKTİRME,BİNEK 2/3,Aks zincirindeki üst enine bağlantı kolunun kılavuz mafsalı için çektirme aleti.,Teknik hatırlatma: W   210   589   04   63   00 basınç parçasıyla kullanılarak.,,
 W668589003400 ,Sıkma pensesi,BİNEK 2/3, Enjektör için gerdirme pensesi.,Teknik hatırlatma: Enjektörler sıkıştığında darbeli çekici W   602   589   00   33   00 ile bağlantılı olarak kullanılmalıdır.,,
 W206589002100 ,ADAPTÖR,BİNEK PAKET, Üreticiye özel silecek kolu bağlantısına sahip silecek kolların konumlandırılma açısının kontrol edilmesine ve ayarlanmasına yarayan adaptör., ,,
 W282589004300 ,Montaj aleti,BİNEK PAKET,Enjektörde conta halkasının açılması ve kalibrasyonu için montaj el aleti.,,,
 W282589002100 ,Kontrol adaptörü,BİNEK PAKET, Üst ölü noktasının (OT) belirlenmesi için kontrol adaptörü.,,,
 W254589003300 ,Çektirme aleti,BİNEK PAKET,Kombine pompasının silindir bloğundan çekip çıkarmak için dışarı çektirme aleti.,,,
 W654589003100 ,Montaj plakası,BİNEK PAKET, Eksantrik mili dişlisini sökerken ve takarken gerdirme dişlisinin çevrilmesi ve sabitleme pimleri ile emniyete almak için montaj plakası. ,,,
 W282589004000 ,Tutma kilidi,BİNEK PAKET,Merkezi cıvatanın çözülmesinde veya sıkılmasında krank milinin kontralanması için tutma kilidi.,,,
 W700589131500 ,MİL,BİNEK PAKET,Bilgi yok,,,
 W715589221500 ,MALAFA,BİNEK PAKET,Yüksek voltajlı akünün takılması için malafa.,,,
 W654589024300 ,Montaj aleti,BİNEK PAKET,Motor bloğunda yatak kapağının montajı için montaj el aleti.,,,
 W700589151500 ,DRIFT,BİNEK PAKET,Bilgi yok,,,
 W725589034000 ,Karşı tutucu,BİNEK PAKET,Silindir flanşının cıvatalarını çözmek için karşı tutucusu (merkezleme adaptörü). ,,,
 W129589009112 ,Kapama tapası,BİNEK PAKET, Otomatik şanzımandaki ve yağ soğutucusundaki yağ hatlarının kapatılması için kapatma tapaları.,,,
 W254589003900 ,Uyarlama,BİNEK PAKET,Takılı durumdaki eksantrik zincirini ayırmaya ve perçinlemeye yönelik adaptasyon. ,,,
